distance_meters,duration_seconds,effort_type,effort_value,intensity_zone,interval_rest_seconds,intervals,set_type,source_id,target_calories,tempo,work_seconds
,,RIR,3.0,,,,,827be324-d9b6-467a-99a0-27c60f927cde,,,
,,RIR,3.0,,,,,504272f8-80be-4ae0-89a1-0de8b0ef61b2,,,
,,RIR,2.0,,,,,2758c3d1-45e0-4ceb-ad42-b3f8383317b3,,,
,,RIR,2.0,,,,,b59c8024-d375-4f46-adaf-165bb215dd5b,,,
,,RIR,3.0,,,,,69640a60-7554-42f4-827a-4ae2aeaf76e0,,,
,,RIR,3.0,,,,,93e4bf46-cca7-4bf1-9d88-b14417efe406,,,
,,RIR,3.0,,,,,15c4bafe-c96a-4f97-91cb-e96b7075d8e4,,,
,,RIR,3.0,,,,,22bf015b-b238-4d76-bbf1-913d9d5aca68,,,
,,RIR,3.0,,,,,486ec97e-46d3-4c22-b4f0-b964707b4514,,,
,,RIR,3.0,,,,,8186bc21-de91-46ac-b179-1eefa79aff61,,,
,,RIR,2.0,,,,,d053d9a9-b67e-420b-bbab-ddfcee7f35f2,,,
,,RIR,2.0,,,,,d9f79424-4755-4c14-a9bf-d29853c00ae9,,,
,,RIR,3.0,,,,,199804a6-9c0f-440c-a9c1-f32bef635be8,,,
,,RIR,3.0,,,,,ede9afd9-6910-4445-914a-408d24ae5648,,,
,,RIR,3.0,,,,straight,6508cb6d-54f7-43b9-ac76-c81a95e7321f,,standard,
,,RIR,3.0,,,,,fdd9f7b3-f77d-4ef8-8518-f52326ca5aaa,,,
,,RIR,3.0,,,,,f03f34f8-4884-43e6-89d9-dbc9f8299836,,,
,,RIR,3.0,,,,,f73bb029-b02a-4b76-b3a8-2ec6d9ea0c71,,,
,,RIR,3.0,,,,straight,b04eb2a7-b4d7-4858-a9f2-4eed37c1091c,,standard,
,,RIR,3.0,,,,,399b5de8-65ae-4351-bc86-8c80d7df887c,,,
,,RIR,2.0,,,,,e4a5abbe-3f57-4dc8-a2e8-c49ea7e52f3a,,,
,,RIR,2.0,,,,,fb06cc62-7dc1-4a3b-ac04-fbe5ce90106a,,,
,,RIR,2.0,,,,,46235883-25df-4bf5-8ad3-0917db296d6f,,,
,,RIR,2.0,,,,,9e3cc58c-3205-4507-964b-8d88c0133514,,,
,,RIR,2.0,,,,,a97e41fe-ffd7-4f13-b90b-5bf49b94a590,,,
,,RIR,3.0,,,,,6c619b2e-df0b-4a42-a5ab-2412bd9a6018,,,
,,RIR,3.0,,,,,c2f74608-f52c-437c-bb5f-cd528ebee8cd,,,
,,RIR,2.0,,,,straight,8df310c5-b4c0-473e-a95b-1a0fef40f303,,standard,
,,RIR,3.0,,,,,2d8c6528-9b95-46c9-8380-b4026ef9227a,,,
,,RIR,2.0,,,,,a824a1c4-581d-4439-b375-81bd4db8b12f,,,
,,RIR,2.0,,,,,16da441e-1b72-4940-9441-203178a42891,,,
,,RIR,2.0,,,,,7b360246-e137-4f87-9613-be330b99c60a,,,
,,RIR,2.0,,,,,e11ccf09-8527-4013-a27c-d170f3067a6a,,,
,,RIR,2.0,,,,,85a5b54d-ccef-4fe3-bc37-5cc249299720,,,
,,RIR,2.0,,,,,7d4feedf-033d-472f-b2c9-3c00f12449dc,,,
,,RIR,2.0,,,,,682d9904-9835-49da-b95a-f16e3e326d4e,,,
,,RIR,2.0,,,,,5dbb1f39-6390-4187-99dd-90e1d96f47f4,,,
,,RIR,1.0,,,,,adda031d-e946-472d-9115-f53a937732bc,,,
,,RIR,1.0,,,,,49389fe4-6485-439f-a396-f8556ddfacba,,,
,,RIR,1.0,,,,,4c56773c-237e-43f4-93c8-df244cff8053,,,
,,RIR,1.0,,,,,e23eaf92-dea8-4fb9-b10d-1532b6caff98,,,
,,RIR,1.0,,,,,3e110723-9d12-4b63-a841-ca98b6653fa7,,,
,,RIR,1.0,,,,,8d2fb2cb-8254-4972-8274-a3c5b6a7a671,,,
,,RIR,1.0,,,,,4bb732e2-f07f-4be6-ae24-42943fd433e3,,,
,,RIR,1.0,,,,,00df0b92-7e12-406d-90d9-bf9a8306c240,,,
,,RIR,1.0,,,,,f1dfdd45-bd60-453e-b898-1456f365060b,,,
,,RIR,1.0,,,,,27c50814-3b10-469b-b60b-2b52521b4eda,,,
,,RIR,1.0,,,,,19fea6d5-1bc9-4bf5-8a42-8b04b2c80965,,,
,,RIR,1.0,,,,,47453fe0-815b-4590-a5a9-51d676136189,,,
,,RIR,1.0,,,,,ec1f2e9a-3ae4-40cb-b0a1-bf8b3fb697e5,,,
,,RIR,1.0,,,,,df5b9fc1-b6b3-4ad7-a2d7-1281509e9f7d,,,
,,RIR,1.0,,,,,f79613b9-c4a0-443b-89eb-c2e194ce31d4,,,
,,RIR,1.0,,,,,a484fa54-8be9-4885-822c-2b86c8350114,,,
,,RIR,1.0,,,,,42020e3b-984b-4b23-9330-a078fc008cf1,,,
,,RIR,1.0,,,,,66da3619-0a24-4b58-9133-dc782e7ee976,,,
,,RIR,1.0,,,,,2010e4e8-99ec-4c59-8fba-038a7edcc138,,,
,,RIR,1.0,,,,,c752f882-a301-44d4-b3a6-e52e9663ffef,,,
,,RIR,2.0,,,,,0652b3b3-f6e6-4eb3-beab-8151098a390b,,,
